State,2014,Standard error
United States,53657,392
Alabama,42278,1529
Alaska,67629,3153
Arizona,49254,2304
Arkansas,44922,2546
California,60487,894
Colorado,60940,2414
Connecticut,70161,2665
Delaware,57522,2970
D.C.,68277,4402
Florida,46140,950
Georgia,49555,2009
Hawaii,71223,2676
Idaho,53438,2572
Illinois,54916,1625
Indiana,48060,1943
Iowa,57810,3425
Kansas,53444,2863
Kentucky,42786,1580
Louisiana,42406,1862
Maine,51710,2171
Maryland,76165,4272
Massachusetts,63151,2662
Michigan,52005,1199
Minnesota,67244,3207
Mississippi,35521,1294
Missouri,56630,3030
Montana,51102,1778
Nebraska,56870,2254
Nevada,49875,1836
New Hampshire,73397,3253
New Jersey,65243,2693
New Mexico,46686,3312
New York,54310,1781
North Carolina,46784,1710
North Dakota,60730,3138
Ohio,49644,1393
Oklahoma,47199,2775
Oregon,58875,2998
Pennsylvania,55173,2266
Rhode Island,58633,4001
South Carolina,44929,2244
South Dakota,53053,3542
Tennessee,43716,2326
Texas,53875,1344
Utah,63383,3231
Vermont,60708,3098
Virginia,66155,2946
Washington,59068,2195
West Virginia,39552,2195
Wisconsin,58080,2154
Wyoming,55690,2019
